REGIÃO:;CO;;;;;;;;;;;;;;;;;
UF:;DF;;;;;;;;;;;;;;;;;
ESTAÇÃO:;BRASILIA;;;;;;;;;;;;;;;;;
CODIGO (WMO):;A001;;;;;;;;;;;;;;;;;
LATITUDE:;-15,78944444;;;;;;;;;;;;;;;;;
LONGITUDE:;-47,92583332;;;;;;;;;;;;;;;;;
ALTITUDE:;1159,54;;;;;;;;;;;;;;;;;
DATA DE FUNDAÇÃO (YYYY-MM-DD):;07/05/2000;;;;;;;;;;;;;;;;;
DATA (YYYY-MM-DD);HORA (UTC);PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
01/01/2002;00:00;0;883,4;883,4;883,2;-9999;18,7;17,2;19;18,7;17,2;17,1;91;89;91;306;5,6;3,3
01/01/2002;01:00;0;883,5;883,5;883,4;-9999;18,4;17,3;18,7;18,4;17,4;17,2;93;91;93;287;4,9;1,3
01/01/2002;02:00;0;883,6;883,7;883,5;-9999;18,4;17,4;18,4;18,3;17,4;17,2;94;93;94;311;3,7;2,3
01/01/2002;03:00;0;883;883,6;883;-9999;18,1;17,1;18,4;18,1;17,4;17,1;94;94;94;316;3,6;1,8
01/01/2002;04:00;0;882,7;883;882,7;-9999;18,1;17,2;18,1;17,9;17,2;17;95;94;95;296;3,4;1,8
01/01/2002;05:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
01/01/2002;06:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
01/01/2002;07:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
01/01/2002;08:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
01/01/2002;09:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
01/01/2002;10:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
01/01/2002;11:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
01/01/2002;12:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
01/01/2002;13:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
01/01/2002;14:00;0;884,7;885;884,7;1432;22,8;18,5;22,8;21,4;18,7;18;84;77;77;311;-9999;4,2
01/01/2002;15:00;0;884,3;884,6;884,3;1335;21,1;18,5;23;21,1;19;17,6;86;75;86;316;9;4,3
01/01/2002;16:00;0,8;883,4;884,3;883,4;1553;22;18,8;22;19,9;19,4;18;91;82;82;330;7,4;3,7
01/01/2002;17:00;0;882,1;883,4;882,1;2612;24;18,4;24,1;22,1;19,5;17,8;83;69;71;325;8;3,2
01/01/2002;18:00;0;881,5;882;881,5;2384;23,8;18,8;24,8;23,2;19,3;18;78;69;74;321;9,5;4,4
01/01/2002;19:00;0;881,4;881,6;881,4;1544;23,4;18,8;23,7;23;19,3;18,5;78;74;75;301;10,5;4
01/01/2002;20:00;0;881,5;881,5;881,2;945;22,1;18,9;23,8;22,1;19,2;18,4;82;72;82;323;7,7;4,4
01/01/2002;21:00;0;881,8;881,8;881,4;380;21,6;18,1;22,2;21,6;19;18;82;79;80;312;8,4;3,7
01/01/2002;22:00;0;882,6;882,6;881,8;62;20,4;18;21,6;20,4;18,4;18;87;81;86;312;7,7;4,3
01/01/2002;23:00;0,2;882,9;882,9;882,6;-9999;19,8;18,6;20,4;19,8;18,6;18;93;87;93;319;7;2,7
02/01/2002;00:00;0;883,6;883,6;882,9;-9999;19,7;18,6;19,8;19,6;18,7;18,5;94;93;93;318;6,1;2,8
02/01/2002;01:00;0,2;883,8;883,9;883,6;-9999;19,6;18,6;19,7;19,5;18,7;18,6;94;93;94;308;6,7;2,6
02/01/2002;02:00;0,8;883,9;884;883,7;-9999;19,4;18,6;19,6;19,4;18,6;18,5;95;94;95;295;6,6;2,9
02/01/2002;03:00;0,6;883,6;883,9;883,6;-9999;19,5;18,6;19,5;19,4;18,6;18,6;95;95;95;300;4,8;2,5
02/01/2002;04:00;0,4;882,9;883,6;882,8;-9999;19,3;18,5;19,5;19,3;18,6;18,5;95;95;95;314;5,1;2,4
02/01/2002;05:00;0;882,5;882,9;882,5;-9999;19,3;18,2;19,4;19,3;18,5;18,2;95;94;94;291;4,6;2,8
02/01/2002;06:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
02/01/2002;07:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
02/01/2002;08:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
02/01/2002;09:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
02/01/2002;10:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
02/01/2002;11:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
02/01/2002;12:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
02/01/2002;13:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
02/01/2002;14:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
02/01/2002;15:00;0;883;-9999;-9999;125;23,3;19,5;-9999;-9999;-9999;-9999;-9999;-9999;79;283;-9999;4,2
02/01/2002;16:00;0;882,3;-9999;-9999;447;25,6;18,7;-9999;-9999;-9999;-9999;-9999;-9999;66;268;-9999;3,8
02/01/2002;17:00;0;881,4;882,3;881,4;3322;26,6;17,9;26,6;25,3;19,3;17,8;69;59;59;260;8,6;4,4
02/01/2002;18:00;0;880,7;881,5;880,7;2203;25,6;19,3;27,4;24,3;19,3;17;70;57;68;205;7,8;4,4
02/01/2002;19:00;0;880;880,9;880;2340;26,5;17,3;27,2;25,8;19,8;17,1;68;56;57;230;8;3,6
02/01/2002;20:00;0;880,3;880,3;879,9;1305;25,1;19,1;27,8;25,1;19,2;16,5;70;51;70;279;7,5;2,9
02/01/2002;21:00;0;880,7;880,8;880,3;301;23,2;19,4;25;23,2;19,5;19;80;70;80;307;7,3;3
02/01/2002;22:00;0;881,5;881,5;880,7;71;22;19,4;23,1;22;19,9;19,4;86;80;85;326;4,9;2,7
02/01/2002;23:00;0;882,1;882,1;881,5;-9999;20,7;19;22;20,7;19,4;18,8;90;84;90;324;5,6;2,4
03/01/2002;00:00;0;882,8;882,8;882,1;-9999;20,4;19;20,7;20,4;19,1;18,9;92;90;92;328;4;1,6
03/01/2002;01:00;0;883,6;883,6;882,8;-9999;20,4;18,8;20,5;20,3;19;18,8;92;90;90;302;3,2;2
03/01/2002;02:00;0;883,9;884;883,7;-9999;20,3;18,8;20,4;20,3;18,8;18,7;91;90;91;312;3;1,3
03/01/2002;03:00;0;883,3;883,9;883,3;-9999;19,7;18,3;20,3;19,7;18,7;18,3;92;90;92;309;2;0,7
03/01/2002;04:00;0;882,6;883,3;882,6;-9999;19,4;18,2;19,7;19,4;18,4;18,2;93;92;93;331;2,8;1,4
03/01/2002;05:00;0;882,3;882,6;882,3;-9999;18,9;18;19,4;18,9;18,2;18;95;93;95;273;3,1;1,8
03/01/2002;06:00;0;882,2;882,3;882,1;-9999;18,7;17,9;19;18,7;18,2;17,9;95;94;95;308;4,2;2
03/01/2002;07:00;0;882,2;882,3;882,1;-9999;18,4;17,6;18,8;18,4;18;17,6;95;95;95;316;3,4;1,5
03/01/2002;08:00;0;882,6;882,7;882,2;-9999;18,5;17,6;18,7;18,4;17,8;17,6;95;94;94;280;3,6;2,1
03/01/2002;09:00;0;883,1;883,1;882,6;5;18,3;17,5;18,5;18,3;17,6;17,4;95;94;95;283;3,3;1,7
